,State,cycle,mean,std,alpha,beta,stdv of votePct
191,RI,1980,0.46643978378407613,0.072948344654008457,21.347983102970758,24.419946317160239,0.160724976595359
192,RI,1990,0.65464526978942517,0.094754107437493754,15.830067603642684,8.3510703869130598,0.11985704713060183
193,RI,2000,0.69219551595216522,0.056752621371384093,45.096751161843223,20.053556984561574,0.067490962094317361
194,RI,2010,0.6172320691922577,0.031153606415453561,149.63324216996551,92.792985562795408,0.019428009814199485
195,SC,1970,0.56688957364419801,0.027082460705416939,189.19951714690322,144.55069796227818,0.11346470823027759
196,SC,1980,0.53998328512524207,0.043258046784470469,71.140418933177841,60.605175593285601,0.13449360436278504
197,SC,1990,0.46374557607017997,0.034778192162148093,94.885320100046613,109.72109556457926,0.14513440053611046
198,SC,2000,0.44953293871010408,0.027621926656198472,145.34674606529177,177.98160998877557,0.13838411535830195
199,SC,2010,0.41009932043529812,0.012012017587975342,687.17281577032782,988.45253040418254,0.14370384832430974
200,SD,1970,0.43559905622995199,0.12222552217291291,6.7330577421471451,8.7239494433614837,0.097305932381748644
201,SD,1980,0.6147908794848036,0.081047199886947474,21.550598426332215,13.502944404998779,0.0
202,SD,1990,0.44670966188851463,0.2147990561730993,1.9462701830683085,2.4106317358206524,0.0
203,SD,2000,0.5727314746519363,0.10983866734728907,11.044228494567317,8.239203590737894,0.0
204,SD,2010,0.37305950960869178,0.047010124073827292,39.108995969627145,65.724133765221893,0.0
205,TN,1970,0.52908142467552932,0.034084460673223099,112.94011969476281,100.52441416980406,0.19971712564136576
206,TN,1980,0.54884600503201086,0.025766164426843249,204.15512821511018,167.81647464497266,0.20904930596508323
207,TN,1990,0.48891572630038349,0.024237342705725317,207.47621536360978,216.88365731542748,0.17957720666589377
208,TN,2000,0.46533087777022819,0.061643063577521764,30.00242158746742,34.473036674045289,0.2170112791912166
209,TN,2010,0.36219334743132325,0.021091170398817034,187.72906947480283,330.58268529976215,0.20467015236546424
210,TX,1970,0.59848765197778597,0.043776938951478946,74.445951001847007,49.944169255154073,0.16390943028671354
211,TX,1980,0.52793314637647304,0.025805710031637258,197.04604371031843,176.1944793800871,0.18483795497476013
212,TX,1990,0.4644416795331282,0.020070575584106781,286.31597406105811,330.15749651305612,0.18006248497092053
213,TX,2000,0.43474690274329475,0.031930003216058718,104.35481373368839,135.68097047822775,0.17639510479304704
214,TX,2010,0.42150939523746733,0.010151549380037291,996.92521479334823,1368.2064431420738,0.19661896979104776
215,UT,1970,0.49993499444303025,0.079420603940703313,19.314749811718869,19.319772729030916,0.093074826779586145
216,UT,1980,0.43850841470577018,0.075074356536725562,18.717978986343155,23.967584981460114,0.10569255730205984
217,UT,1990,0.43896969389296558,0.030030545648450691,119.43612166709181,152.64671987917228,0.1256546909442432
218,UT,2000,0.41396609301768655,0.037080972046106164,72.624234449604643,102.81099001575224,0.14956874889082489
219,UT,2010,0.33693393674883326,0.005497367160465976,2490.4514156092441,4901.0611154236449,0.099259359720806614
220,VT,1970,0.32859282419780367,0.081223559542608889,10.659899079520583,21.781159563633544,0.0
221,VT,1980,0.3677366916489942,0.14042146518821358,3.9684194078808979,6.8230504073443035,0.0
222,VT,1990,0.66459556345893278,0.10127320789551972,13.779639417679187,6.9542326923934663,0.0
223,VT,2000,0.658778389192896,0.074623201529604388,25.934229464795425,13.432923268567325,0.0
224,VT,2010,0.71785725621793717,0.040556819197453089,87.675026241108554,34.459319384968033,0.0
225,VA,1970,0.45049686460678445,0.02538130489351131,172.66096664387129,210.60688760541007,0.10120710383486579
226,VA,1980,0.48197236049133718,0.016380884786826918,447.97676306319192,481.48890713937089,0.10199633312698479
227,VA,1990,0.49064420509832446,0.021767170227666829,258.30123958072323,268.15201696789944,0.18763203001520831
228,VA,2000,0.4599680788869881,0.019003350287096911,315.92400153105751,370.91496845902844,0.13061324267318314
