Year,ABBcode,YrStatAbbCD,Any Congregation,No Congregation,Evangel. Prot Congregation,Roman Catholic,Mainline Prot,"Other, inc LDS"
2012,AZ8,2012AZ8,39.70472323,60.29527677,10.01043214,20.63676405,14.00148332,6.359040082
2012,AZ9,2012AZ9,34.3960011,65.6039989,7.172286073,19.35102087,14.00148332,6.359040082
2012,CA1,2012CA1,37.71689701,62.28310299,8.601140054,20.52467349,13.77701834,3.826525747
2012,CA10,2012CA10,41.43990294,58.56009706,9.122087112,24.03729024,11.16190835,1.900520103
2012,CA11,2012CA11,43.82108249,56.17891751,3.516048502,29.89771388,7.732894831,3.017183078
2012,CA12,2012CA12,33.74050088,66.25949912,8.172175722,15.32837484,3.768837669,2.851187
2012,CA13,2012CA13,43.04660952,56.95339048,6.481666314,27.26229007,8.172175722,2.113722853
2012,CA14,2012CA14,43.55689864,56.44310136,8.340564491,25.10992669,3.617477617,3.074145626
2012,CA15,2012CA15,43.55689864,56.44310136,8.340564491,25.10992669,7.992119708,3.168267564
2012,CA16,2012CA16,45.29345012,54.70654988,5.501777185,32.89129609,12.54356417,2.576067792
2012,CA17,2012CA17,46.20859442,53.79140558,11.10728446,29.46138898,8.263310725,2.604056491
2012,CA18,2012CA18,46.8883664,53.1116336,12.56867365,28.26264128,6.77682151,2.459827349
2012,CA19,2012CA19,31.52351938,68.47648062,11.57331808,12.98135617,8.340564491,2.049998808
2012,CA2,2012CA2,51.10543276,48.89456724,12.14924763,32.87124629,5.238791107,0.735561668
2012,CA20,2012CA20,45.52061213,54.47938787,12.70112059,26.62012386,7.507109193,1.650630913
2012,CA21,2012CA21,49.65341353,50.34658647,12.42786107,30.73282986,12.85394898,1.257673825
2012,CA22,2012CA22,47.76769049,52.23230951,7.778285323,32.01005427,13.06172316,1.814327065
2012,CA23,2012CA23,45.27862871,54.72137129,8.400081583,29.31180786,8.852101475,2.18434113
2012,CA24,2012CA24,50.08487176,49.91512824,9.183087217,32.9674666,8.280251838,1.508788355
2012,CA25,2012CA25,47.43790899,52.56209101,9.881431713,29.94939776,8.343905514,1.50908153
2012,CA26,2012CA26,53.10438703,46.89561297,8.29660629,36.08449469,8.343905514,1.388550562
2012,CA27,2012CA27,53.10438703,46.89561297,8.29660629,36.08449469,8.926535466,1.412094577
2012,CA28,2012CA28,53.10438703,46.89561297,8.29660629,36.08449469,8.29660629,2.2239162
2012,CA29,2012CA29,38.27283441,61.72716559,10.81182227,18.19273826,8.29660629,2.123224848
2012,CA3,2012CA3,53.10438703,46.89561297,8.29660629,36.08449469,10.64570397,1.616191827
2012,CA30,2012CA30,53.10438703,46.89561297,8.29660629,36.08449469,8.343905514,2.213798332
2012,CA31,2012CA31,53.10438703,46.89561297,8.29660629,36.08449469,11.96554655,1.603958232
2012,CA32,2012CA32,53.10438703,46.89561297,8.29660629,36.08449469,8.29660629,1.603958232
2012,CA33,2012CA33,53.10438703,46.89561297,8.29660629,36.08449469,8.29660629,1.711541812
2012,CA34,2012CA34,53.10438703,46.89561297,8.29660629,36.08449469,8.29660629,1.533507051
2012,CA35,2012CA35,53.10438703,46.89561297,8.29660629,36.08449469,8.926535466,1.533507051
2012,CA36,2012CA36,53.10438703,46.89561297,8.29660629,36.08449469,10.97467576,1.603958232
2012,CA37,2012CA37,53.10438703,46.89561297,8.29660629,36.08449469,8.29660629,2.570447276
2012,CA38,2012CA38,53.10438703,46.89561297,8.29660629,36.08449469,9.046057721,1.533507051
2012,CA39,2012CA39,33.44222096,66.55777904,13.66844598,12.95404101,9.445798981,1.533507051
2012,CA4,2012CA4,45.76341624,54.23658376,11.49057614,26.49207769,13.38903197,1.533507051
2012,CA40,2012CA40,40.98955236,59.01044764,11.74216441,23.15443659,8.29660629,1.711541812
2012,CA41,2012CA41,45.84470322,54.15529678,10.9759579,27.2890776,10.97467576,2.372854728
2012,CA42,2012CA42,39.98624221,60.01375779,11.96554655,21.8814766,10.97467576,1.533507051
2012,CA43,2012CA43,44.63204857,55.36795143,11.05064111,27.37548677,8.29660629,1.694159806
2012,CA44,2012CA44,44.43669076,55.56330924,10.97467576,27.52802857,8.29660629,1.814142541
